# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
231.4,-4.26949,183915496.881949,323.411,1.7210819612709744e-09,5.765357961203566e-84
232.29,-4.2686,184178682.4992,323.52,1.7235448533382356e-09,6.197410069725689e-84
233.18,-4.26771,184442189.75261,323.628,1.7260107552779737e-09,6.6622667676544245e-84
234.07,-4.26682,184706018.945124,323.736,1.7284796699251337e-09,7.162449709536249e-84
234.96,-4.26593,184970170.379829,323.845,1.7309516001160191e-09,7.7006766593610675e-84
235.85,-4.26504,185234644.359958,323.954,1.7334265486882913e-09,8.27987691172724e-84
236.74,-4.26415,185499441.188892,324.063,1.7359045184809687e-09,8.90320793850553e-84
237.63,-4.26326,185764561.170152,324.172,1.7383855123344241e-09,9.574073359371788e-84
238.52,-4.26237,186030004.607407,324.281,1.740869533090384e-09,1.0296142342562594e-83
239.41,-4.26148,186295771.804469,324.391,1.743356583591926e-09,1.1073370550815097e-83
240.3,-4.26059,186561863.065296,324.501,1.7458466666834795e-09,1.1910022756801023e-83
241.19,-4.2597,186828278.693987,324.61,1.7483397852108212e-09,1.2810697262455526e-83
242.08,-4.25881,187095018.994789,324.72,1.750835942021078e-09,1.378035226750929e-83
242.97,-4.25792,187362084.272089,324.83,1.7533351399627205e-09,1.4824334344385562e-83
243.86,-4.25703,187629474.830421,324.941,1.7558373818855635e-09,1.5948409189368985e-83
244.75,-4.25614,187897190.974459,325.051,1.7583426706407675e-09,1.7158794833832156e-83
245.64,-4.25525,188165233.009025,325.162,1.7608510090808331e-09,1.8462197514258357e-83
246.53,-4.25436,188433601.239079,325.272,1.763362400059601e-09,1.9865850416011714e-83
247.42,-4.25347,188702295.969728,325.383,1.7658768464322508e-09,2.1377555523356602e-83
248.31,-4.25258,188971317.506221,325.494,1.7683943510552991e-09,2.3005728827212465e-83
249.2,-4.25169,189240666.153948,325.605,1.7709149167865977e-09,2.475944916265847e-83
250.09,-4.2508,189510342.218443,325.717,1.7734385464853344e-09,2.6648510970506444e-83
